Player           Team PS GP  Min  FGM  FGA  3M  3A FTM  FTA  OR   TR   AS  ST  TO  BK  PF  DQ   PTS  TC  EJ  FF Sta +/-
bridges,mikal     pho SF 56 2013  354  764 101 261 156  174  56  243  201  65  78  45 115   0   965   0   0   0  56   54
bridges,mikal     tot SF 82 2924  593 1267 169 442 316  353  79  364  273  91 127  61 158   0  1671   0   0   0  82   47
brissett,oshae    ind SF 65 1048  123  319  48 155 104  145  62  218   44  33  33  13  79   1   398   0   0   0   2   22
brogdon,malcolm   bos PG 67 1709  354  732 132 297 160  184  43  281  249  45  97  18 109   0  1000   0   0   0   0  182
brooks,dillon     mem SF 73 2180  392  991 143 439 120  154  45  244  189  65 104  16 240   6  1047   0   0   0  73  205
brown,bruce       den SF 80 2238  358  741  91 254 116  153  63  328  268  87 123  51 190   0   923   0   0   0  31   31
brown,greg        por PF 15   87   11   28   1   7   5   12   2   19    3   4   6   5  13   0    28   0   0   0   0   -5
brown,jaylen      bos SG 67 2373  679 1383 163 487 263  344  78  459  232  74 197  26 172   0  1784   0   0   0  67  256
brown,kendall     ind SG  6   37    4    7   0   1   1    2   2    6    3   4   2   0   9   0     9   0   0   0   0    4
brown,moses       bro  C  2    5    0    0   0   0   0    0   0    0    0   1   1   0   1   0     0   0   0   0   0   -6
brown,moses       lac  C 34  272   61   96   0   0  33   72  57  139    4   3  14  14  38   0   155   0   0   0   1   33
brown,moses       tot  C 36  277   61   96   0   0  33   72  57  139    4   4  15  14  39   0   155   0   0   0   1   27
brown,sterling    lal SG  4   22    0    4   0   2   0    0   3    8    2   3   0   0   4   0     0   0   0   0   0   -4
brown,troy        lal SF 76 1822  200  465 107 281  34   39  62  308   95  59  49  16 120   0   541   0   0   0  45  -15
brunson,jalen     nyk PG 68 2347  587 1194 134 322 325  392  40  241  420  61 142  15 152   0  1633   0   0   0  68  149
bryant,thomas     den  C 18  194   33   68   4   9  13   18  19   60    2   2  10   7  25   0    83   0   0   0   1  -57
bryant,thomas     lal  C 41  852  197  301  22  50  80  108  67  279   29  14  28  24  77   0   496   0   0   0  25  -37
bryant,thomas     tot  C 59 1046  230  369  26  59  93  126  86  339   31  16  38  31 102   0   579   0   0   0  26  -94
bullock,reggie    dal SF 78 2323  192  470 151 397  26   37  32  283  108  54  37  13 166   0   561   0   0   0  55  -88
burks,alec        det SG 51 1097  200  459  99 239 153  188  19  158  113  38  58   8  98   0   652   0   0   0   8   -7
burton,deonte     sac SG  2    6    0    2   0   1   0    0   0    0    0   0   0   0   0   0     0   0   0   0   0    5
butler,jimmy      mia SF 64 2107  479  888  36 103 472  555 139  373  340 117 101  21  80   0  1466   0   0   0  64   47
butler,john_jr    okl PF  6   73   15   32   7  14   0    0   1    4    8   5   5   0   5   0    37   0   0   0   1   -1
butler,john_jr    por PF 19  212   17   53   8  35   3    4   3   17   11   7   1   9  22   0    45   0   0   0   1  -70
